Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Nature Valley Protein Peanut and Chocolate Reep 4 x 40 g,"€4,09",JA,,,,,https://www.jumbo.com/producten/nature-valley-protein-peanut-and-chocolate-reep-4-x-40-g-348220DS,2025-12-09 16:04:52
Nature Valley Protein Salted Caramel Nut Reep 4 x 40 g,"€4,09",JA,,,,,https://www.jumbo.com/producten/nature-valley-protein-salted-caramel-nut-reep-4-x-40-g-348221DS,2025-12-09 16:04:55
Snickers Protein chocolade pinda caramel reep 47g,"€2,79",JA,23 g,42 g,17 g,1711 kJ,https://www.jumbo.com/producten/snickers-protein-chocolade-pinda-caramel-reep-47g-636148PAK,2025-12-09 16:04:57
Mars Protein chocolade caramel reep 50g,"€2,79",JA,20 g,52 g,11 g,1580 kJ,https://www.jumbo.com/producten/mars-protein-chocolade-caramel-reep-50g-636149PAK,2025-12-09 16:05:00
B'tween Protein Pinda's & Chocolade 4 x 24g,"€2,61",JA,17.0 g,38.0 g,36.0 g,2297.0 kJ,https://www.jumbo.com/producten/b-tween-protein-pinda-s-chocolade-4-x-24g-612279DS,2025-12-09 16:05:02
Snelle Jelle Proteïne Naturel Kruidkoek 4 Repen 200 g,"€2,80",JA,8.3 g,51 g,1.5 g,1159 kJ,https://www.jumbo.com/producten/snelle-jelle-proteine-naturel-kruidkoek-4-repen-200-g-718074PAK,2025-12-09 16:05:05
Snelle Jelle Proteïne Banaan Kruidkoek 4 Repen 200 g,"€2,80",JA,,,,,https://www.jumbo.com/producten/snelle-jelle-proteine-banaan-kruidkoek-4-repen-200-g-718236PAK,2025-12-09 16:05:07
Nature Valley Protein Salted Caramel Nut 12 x 40 g,"€14,16",JA,26.0g,26.3g,29.5g,2067kJ / 496kcal,https://www.jumbo.com/producten/nature-valley-protein-salted-caramel-nut-12-x-40-g-629863DSL,2025-12-09 16:05:10
Nature Valley Protein Peanut & Chocolate - 12 x 40 g,"€21,48",JA,26.6 g,27.5 g,28.3 g,2038 kJ/489 kcal,https://www.jumbo.com/producten/nature-valley-protein-peanut-chocolate-12-x-40-g-629862DSL,2025-12-09 16:05:13
Grenade Proteïne Reep Oreo 60g,"€2,76",JA,35.00 g,34.00 g,17.00 g,1624 kJ,https://www.jumbo.com/producten/grenade-proteine-reep-oreo-60g-549944PAK,2025-12-09 16:05:15
Grenade Proteïne Reep Chocolate Chip Salted Caramel 60g,"€2,76",JA,33.00 g,34.00 g,16.00 g,1572 kJ,https://www.jumbo.com/producten/grenade-proteine-reep-chocolate-chip-salted-caramel-60g-560842PAK,2025-12-09 16:05:18
