Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op,parsed_price_eur,protein_per_100g_g,package_weight_g,total_protein_g_per_package,PPG_eur_per_protein_g,PQI_estimate,MAS_score
Bolletje Pro-fit kräckebröd proteïne,"€2,19",NEE,22 g,63 g,7.9 g,1786 kJ (423 kcal),https://www.ah.nl/producten/product/wi563580/bolletje-pro-fit-kra%CC%88ckebro%CC%88d-protei%CC%88ne,2025-12-08 16:57:39,2.19,22.0,,,,0.82,0.9
TastyBasics Low carb-high protein cracker meerzaden,"€3,19",NEE,36 g,15 g,30 g,2072 kJ (498 kcal),https://www.ah.nl/producten/product/wi406382/tastybasics-low-carb-high-protein-cracker-meerzaden,2025-12-08 16:57:43,3.19,36.0,,,,0.96,1.0
Snelle Jelle Proteïne naturel 4-pack,"€2,89",NEE,8.3 g,51 g,1.5 g,1159 kJ (275 kcal),https://www.ah.nl/producten/product/wi602688/snelle-jelle-protei%CC%88ne-naturel-4-pack,2025-12-08 16:57:45,2.89,8.3,,,,0.683,0.7
Nakd. Protein bars peanut butter,"€3,79",NEE,17.4 g,39.3 g,21.9 g,1851 kJ (443 kcal),https://www.ah.nl/producten/product/wi566881/nakd-protein-bars-peanut-butter,2025-12-08 16:57:49,3.79,17.4,,,,0.824,1.0
AH Granola proteïne 0% toegevoegd suiker,"€3,29",NEE,24 g,32 g,24 g,1968 kJ (472 kcal),https://www.ah.nl/producten/product/wi569820/ah-granola-protei%CC%88ne-0-toegevoegd-suiker,2025-12-08 16:57:52,3.29,24.0,,,,0.84,0.9
TastyBasics Low carb-high protein cracker zonnebloem,"€3,19",NEE,35 g,14 g,26 g,1876 kJ (448 kcal),https://www.ah.nl/producten/product/wi456510/tastybasics-low-carb-high-protein-cracker-zonnebloem,2025-12-08 16:57:56,3.19,35.0,,,,0.95,1.0
Holie's Granola protein amandel speculaas,"€3,89",NEE,20 g,28 g,27 g,1917 kJ (462 kcal),https://www.ah.nl/producten/product/wi590179,2025-12-08 16:57:59,3.89,20.0,,,,0.8,1.0
Holie's Crunchy muesli protein coconut cacao,"€4,19",NEE,22 g,38 g,17 g,1813 kJ (434 kcal),https://www.ah.nl/producten/product/wi590176/holie-s-crunchy-muesli-protein-coconut-cacao,2025-12-08 16:58:02,4.19,22.0,,,,0.82,1.0
TastyBasics Low carb-high protein cracker maanzaad,"€3,29",NEE,36 g,12 g,29 g,1962 kJ (471 kcal),https://www.ah.nl/producten/product/wi492910/tastybasics-low-carb-high-protein-cracker-maanzaad,2025-12-08 16:58:06,3.29,36.0,,,,0.96,1.0
Holie's Glutenfree granola proteine nuts,"€4,19",NEE,22 g,28 g,25 g,1865 kJ (455 kcal),https://www.ah.nl/producten/product/wi587831/holie-s-glutenfree-granola-proteine-nuts,2025-12-08 16:58:09,4.19,22.0,,,,0.82,1.0
AH Volkoren havermout proteine,"€1,99",NEE,20 g,51 g,9.7 g,1639 kJ (390 kcal),https://www.ah.nl/producten/product/wi471000/ah-volkoren-havermout-proteine,2025-12-08 16:58:12,1.99,20.0,,,,0.75,1.0
AH Terra Plantaardig protein gurt banaan,"€1,59",NEE,10 g,4.7 g,0 g,254 kJ (60 kcal),https://www.ah.nl/producten/product/wi585913/ah-terra-plantaardig-protein-gurt-banaan,2025-12-08 16:58:15,1.59,10.0,,,,0.7,1.0
Alpro Protein sojadrink,"€2,79",NEE,5 g,2.5 g,2.8 g,57 kcal (239 kJ),https://www.ah.nl/producten/product/wi469100,2025-12-08 16:58:19,2.79,5.0,,,,0.77,0.625
Alpro Protein sojadrink chocolade,"€2,99",NEE,5 g,5.3 g,2.8 g,291 kJ (69 kcal),https://www.ah.nl/producten/product/wi519788,2025-12-08 16:58:22,2.99,5.0,,,,0.77,0.625
AH Protein kwark met yoghurt vanillesmaak,"€1,99",NEE,10 g,4.6 g,0.2 g,256 kJ (60 kcal),https://www.ah.nl/producten/product/wi585917/ah-protein-kwark-met-yoghurt-vanillesmaak,2025-12-08 16:58:25,1.99,10.0,,,,0.9,1.0
HiPRO Protein kwark banaan,"€1,49",JA,12.4 g,4 g,0.4 g,295 kJ (70 kcal),https://www.ah.nl/producten/product/wi520225,2025-12-08 16:58:29,1.49,12.4,,,,0.924,1.0
AH Protein kwark bar aardbei,"€0,95",NEE,22 g,15 g,20 g,1332 kJ (320 kcal),https://www.ah.nl/producten/product/wi585991/ah-protein-kwark-bar-aardbei,2025-12-08 16:58:32,0.95,22.0,,,,1.0,1.0
AH Protein kwark bar mango,"€0,95",NEE,22 g,15 g,20 g,1332 kJ (320 kcal),https://www.ah.nl/producten/product/wi585990/ah-protein-kwark-bar-mango,2025-12-08 16:58:35,0.95,22.0,,,,1.0,1.0
Lindahls Protein kvarg stracciatella,"€2,79",NEE,10.1 g,4.1 g,0.6 g,268 kJ (63 kcal),https://www.ah.nl/producten/product/wi597042,2025-12-08 16:58:38,2.79,10.1,,,,0.701,1.0
Melkunie Protein aardbei kwark,"€1,59",NEE,10 g,6.6 g,0.2 g,305 kJ (72 kcal),https://www.ah.nl/producten/product/wi395071,2025-12-08 16:58:41,1.59,10.0,,,,0.9,1.0
Lindahls Protein kvarg mango-passievruchtsmaak,"€2,79",NEE,10 g,4.3 g,0.2 g,255 kJ (60 kcal),https://www.ah.nl/producten/product/wi597043/lindahls-protein-kvarg-mango-passievruchtsmaak,2025-12-08 16:58:44,2.79,10.0,,,,0.7,1.0
AH Protein kwark bar vanille,"€0,95",NEE,22 g,15 g,20 g,1332 kJ (320 kcal),https://www.ah.nl/producten/product/wi585992/ah-protein-kwark-bar-vanille,2025-12-08 16:58:48,0.95,22.0,,,,1.0,1.0
Lindahls Protein kvarg vanillesmaak,"€2,79",NEE,10 g,4 g,0.2 g,250 kJ (59 kcal),https://www.ah.nl/producten/product/wi597041,2025-12-08 16:58:51,2.79,10.0,,,,0.7,1.0
HiPRO Protein kwark bosvruchten,"€1,49",JA,12.4 g,3.6 g,0.4 g,290 kJ (66 kcal),https://www.ah.nl/producten/product/wi520134,2025-12-08 16:58:54,1.49,12.4,,,,0.924,1.0
Lindahls Protein kvarg framboossmaak,"€2,79",NEE,10 g,4.1 g,0.2 g,251 kJ (59 kcal),https://www.ah.nl/producten/product/wi597044,2025-12-08 16:58:57,2.79,10.0,,,,0.7,1.0
HiPRO Protein skyr stijl stracciatella,"€2,24",JA,9.4 g,3.6 g,0.5 g,239 kJ (56 kcal),https://www.ah.nl/producten/product/wi556313,2025-12-08 16:59:00,2.24,9.4,,,,0.894,1.0
Onbekend,2,JA,,,,,https://www.ah.nl/producten/product/wi556312,2025-12-08 16:59:25,2.0,,,,,0.7,
HiPRO Protein kwark mango,"€1,49",JA,12.3 g,3.6 g,0.4 g,295 kJ (69 kcal),https://www.ah.nl/producten/product/wi556396,2025-12-08 16:59:44,1.49,12.3,,,,0.923,1.0
Melkunie Protein bosbes kwark,"€1,59",NEE,10 g,6.4 g,0.2 g,302 kJ (71 kcal),https://www.ah.nl/producten/product/wi412574,2025-12-08 16:59:52,1.59,10.0,,,,0.9,1.0
Melkunie Protein vanille kwark,"€1,49",NEE,10 g,6.9 g,0.2 g,312 kJ (73 kcal),https://www.ah.nl/producten/product/wi457980,2025-12-08 16:59:56,1.49,10.0,,,,0.9,1.0
AH Verse proteïne smoothie kwark mango,"€2,19",JA,4.3 g,8.9 g,0.1 g,231 kJ (55 kcal),https://www.ah.nl/producten/product/wi582065/ah-verse-protei%CC%88ne-smoothie-kwark-mango,2025-12-08 17:00:00,2.19,4.3,,,,0.843,0.0
AH Verse proteïne smoothie kwark framboos,"€2,19",JA,4.4 g,8.5 g,0.1 g,228 kJ (54 kcal),https://www.ah.nl/producten/product/wi582063/ah-verse-protei%CC%88ne-smoothie-kwark-framboos,2025-12-08 17:00:04,2.19,4.4,,,,0.844,0.0
AH Verse proteïne smoothie kwark vanille,"€2,19",JA,4.2 g,9.2 g,0.1 g,234 kJ (55 kcal),https://www.ah.nl/producten/product/wi582064/ah-verse-protei%CC%88ne-smoothie-kwark-vanille,2025-12-08 17:00:08,2.19,4.2,,,,0.842,0.0
De Zaanse Hoeve Magere kwark,"€1,99",NEE,8.5 g,4 g,0 g,213 kJ (50 kcal),https://www.ah.nl/producten/product/wi458995/de-zaanse-hoeve-magere-kwark,2025-12-08 17:00:13,1.99,8.5,,,,0.885,0.7
AH Magere kwark,"€2,49",NEE,9 g,4 g,0 g,221 kJ (52 kcal),https://www.ah.nl/producten/product/wi231878/ah-magere-kwark,2025-12-08 17:00:16,2.49,9.0,,,,0.89,0.7
AH Biologisch Magere kwark,"€1,65",NEE,9.6 g,3.7 g,0.07 g,229 kJ (54 kcal),https://www.ah.nl/producten/product/wi114817/ah-biologisch-magere-kwark,2025-12-08 17:00:20,1.65,9.6,,,,0.896,0.7
AH Magere kwark,"€1,49",NEE,9 g,4 g,0 g,221 kJ (52 kcal),https://www.ah.nl/producten/product/wi63453/ah-magere-kwark,2025-12-08 17:00:23,1.49,9.0,,,,0.89,0.7
Campina High protein Greek yoghurt 5% fat,"€3,79",NEE,9.5 g,4.2 g,5.1 g,441 kJ (105 kcal),https://www.ah.nl/producten/product/wi585851,2025-12-08 17:00:26,3.79,9.5,,,,0.895,1.0
Ola Greek style yoghurt ice cream raspberry,"€3,49",NEE,3.7 g,22 g,5.5 g,155 kcal (650 kJ),https://www.ah.nl/producten/product/wi589915/ola-greek-style-yoghurt-ice-cream-raspberry,2025-12-08 17:00:29,3.49,3.7,,,,0.837,0.0
De Zaanse Hoeve Yoghurt Griekse stijl 10% vet,"€2,35",NEE,4.5 g,5 g,10 g,532 kJ (128 kcal),https://www.ah.nl/producten/product/wi216237/de-zaanse-hoeve-yoghurt-griekse-stijl-10-vet,2025-12-08 17:00:38,2.35,4.5,,,,0.845,0.0
AH Biologisch Halfvolle yoghurt,"€1,69",NEE,4.5 g,5.2 g,1.6 g,224 kJ (53 kcal),https://www.ah.nl/producten/product/wi429772/ah-biologisch-halfvolle-yoghurt,2025-12-08 17:00:41,1.69,4.5,,,,0.845,0.0
De Zaanse Hoeve Yoghurt Griekse stijl 2% vet,"€2,25",NEE,6 g,4.7 g,2 g,256 kJ (61 kcal),https://www.ah.nl/producten/product/wi407959/de-zaanse-hoeve-yoghurt-griekse-stijl-2-vet,2025-12-08 17:00:46,2.25,6.0,,,,0.86,0.0
AH Biologisch Volle yoghurt,"€1,79",NEE,4 g,4.5 g,3.1 g,259 kJ (62 kcal),https://www.ah.nl/producten/product/wi60746/ah-biologisch-volle-yoghurt,2025-12-08 17:00:50,1.79,4.0,,,,0.84,0.0
Melkunie Protein chocolade shake 4-pack,"€6,42",JA,,,,,https://www.ah.nl/producten/product/wi594679/melkunie-protein-chocolade-shake-4-pack,2025-12-08 17:00:53,6.42,,,,,0.9,
Optimum Nutrition High protein shake strawberry,"€2,99",NEE,7.6 g,4 g,0.1 g,203 kJ (48 kcal),https://www.ah.nl/producten/product/wi576494/optimum-nutrition-high-protein-shake-strawberry,2025-12-08 17:00:56,2.99,7.6,,,,0.676,0.95
Bol Power shake chocolade,"€3,99",NEE,6.4 g,3.8 g,3 g,306 kJ (73 kcal),https://www.ah.nl/producten/product/wi601553/bol-power-shake-chocolade,2025-12-08 17:00:59,3.99,6.4,,,,0.664,0.0
NXT Level Protein shake ice coffee flavour,"€2,29",NEE,7.5 g,3.9 g,0.1 g,201 kJ (48 kcal),https://www.ah.nl/producten/product/wi570881/nxt-level-protein-shake-ice-coffee-flavour,2025-12-08 17:01:03,2.29,7.5,,,,0.675,0.938
Upfront Shaker,"€9,99",NEE,,,,,https://www.ah.nl/producten/product/wi594286/upfront-shaker,2025-12-08 17:01:06,9.99,,,,,0.7,
Barebells Milkshake vanilla,"€3,09",NEE,7.3 g,3.8 g,1.4 g,245 kJ (58 kcal),https://www.ah.nl/producten/product/wi518739/barebells-milkshake-vanilla,2025-12-08 17:01:09,3.09,7.3,,,,0.873,0.0
Barebells Milkshake strawberry,"€3,09",NEE,7.3 g,3.8 g,1.4 g,245 kJ (58 kcal),https://www.ah.nl/producten/product/wi518743/barebells-milkshake-strawberry,2025-12-08 17:01:12,3.09,7.3,,,,0.873,0.0
Optimum Nutrition High protein shake vanilla,"€3,99",NEE,10 g,4 g,0.2 g,245 kJ (58 kcal),https://www.ah.nl/producten/product/wi576491/optimum-nutrition-high-protein-shake-vanilla,2025-12-08 17:01:15,3.99,10.0,,,,0.7,1.0
Optimum Nutrition High protein shake chocolate,"€3,99",NEE,10 g,4.8 g,0.4 g,264 kJ (63 kcal),https://www.ah.nl/producten/product/wi576492/optimum-nutrition-high-protein-shake-chocolate,2025-12-08 17:01:18,3.99,10.0,,,,0.7,1.0
NXT Level Protein shake vanilla flavour,"€2,29",NEE,7.5 g,3.9 g,0.1 g,202 kJ (48 kcal),https://www.ah.nl/producten/product/wi570882/nxt-level-protein-shake-vanilla-flavour,2025-12-08 17:01:22,2.29,7.5,,,,0.675,0.938
NXT Level Protein shake banana flavour,"€2,35",NEE,7.6 g,3 g,0.1 g,188 kJ (45 kcal),https://www.ah.nl/producten/product/wi584832/nxt-level-protein-shake-banana-flavour,2025-12-08 17:01:25,2.35,7.6,,,,0.676,0.95
Melkunie Protein chocolade shake,"€1,69",NEE,8.1 g,6.3 g,1.2 g,280 kJ (73 kcal),https://www.ah.nl/producten/product/wi493103,2025-12-08 17:01:28,1.69,8.1,,,,0.881,1.0
Barebells Milkshake chocolate,"€3,09",NEE,7.3 g,3.6 g,1.3 g,240 kJ (57 kcal),https://www.ah.nl/producten/product/wi518767/barebells-milkshake-chocolate,2025-12-08 17:01:31,3.09,7.3,,,,0.873,0.0
Optimum Nutrition High protein shake chocolate,"€2,99",NEE,7.6 g,5.4 g,0.3 g,238 kJ (56 kcal),https://www.ah.nl/producten/product/wi576487/optimum-nutrition-high-protein-shake-chocolate,2025-12-08 17:01:34,2.99,7.6,,,,0.676,0.95
Barebells Milkshake cookies & cream,"€3,09",NEE,7.3 g,3.8 g,1.5 g,249 kJ (59 kcal),https://www.ah.nl/producten/product/wi593855/barebells-milkshake-cookies-en-cream,2025-12-08 17:01:37,3.09,7.3,,,,0.873,0.0
Bol Power shake bosbessen,"€3,99",NEE,6.1 g,4.8 g,2.8 g,306 kJ (73 kcal),https://www.ah.nl/producten/product/wi601554/bol-power-shake-bosbessen,2025-12-08 17:01:40,3.99,6.1,,,,0.661,0.0
Optimum Nutrition High protein shake vanilla,"€2,99",NEE,7.6 g,4 g,0.1 g,203 kJ (48 kcal),https://www.ah.nl/producten/product/wi576486/optimum-nutrition-high-protein-shake-vanilla,2025-12-08 17:01:45,2.99,7.6,,,,0.676,0.95
Optimum Nutrition High protein shake strawberry,"€3,99",NEE,10 g,4 g,0.2 g,245 kJ (58 kcal),https://www.ah.nl/producten/product/wi576493/optimum-nutrition-high-protein-shake-strawberry,2025-12-08 17:01:48,3.99,10.0,,,,0.7,1.0
Upfront Eiwit milkshake mango smaak,"€2,29",NEE,7.7 g,5.4 g,1.5 g,279 kJ (66 kcal),https://www.ah.nl/producten/product/wi595152/upfront-eiwit-milkshake-mango-smaak,2025-12-08 17:01:51,2.29,7.7,,,,0.927,0.0
Bol Power shake vanille,"€3,99",NEE,6.1 g,5.5 g,2.7 g,309 kJ (74 kcal),https://www.ah.nl/producten/product/wi601552/bol-power-shake-vanille,2025-12-08 17:01:54,3.99,6.1,,,,0.661,0.0
NXT Level Protein shake chocolate flavour,"€2,35",NEE,7.6 g,4.1 g,0.3 g,212 kJ (51 kcal),https://www.ah.nl/producten/product/wi584833/nxt-level-protein-shake-chocolate-flavour,2025-12-08 17:01:58,2.35,7.6,,,,0.676,0.95
ESN Proteïne milkshake banaan pakket,"€19,32",JA,,,,,https://www.ah.nl/producten/product/wi602636/esn-protei%CC%88ne-milkshake-banaan-pakket,2025-12-08 17:02:01,19.32,,,,,0.9,
Melkunie Protein aardbei yoghurt,"€1,79",NEE,10 g,5.6 g,0.6 g,300 kJ (71 kcal),https://www.ah.nl/producten/product/wi448362,2025-12-08 17:02:04,1.79,10.0,,,,0.9,1.0
AH Proteine repen melk choco salted karamel,"€2,99",NEE,34 g,31 g,17 g,1581 kJ (379 kcal),https://www.ah.nl/producten/product/wi599565/ah-proteine-repen-melk-choco-salted-karamel,2025-12-08 17:02:07,2.99,34.0,,,,1.0,1.0
Fit Piggy Proteïnereep double chocolate,"€2,99",NEE,29 g,31 g,17 g,1654 kJ (395 kcal),https://www.ah.nl/producten/product/wi603161/fit-piggy-protei%CC%88nereep-double-chocolate,2025-12-08 17:02:10,2.99,29.0,,,,0.89,0.9
Fit Piggy Proteïnereep birthdaycake,"€2,99",NEE,28 g,32 g,16 g,1614 kJ (358 kcal),https://www.ah.nl/producten/product/wi594154/fit-piggy-protei%CC%88nereep-birthdaycake,2025-12-08 17:02:15,2.99,28.0,,,,0.88,0.9
HiPRO Protein Reep combi pakket,"€5,97",JA,,,,,https://www.ah.nl/producten/product/wi589380/hipro-protein-reep-combi%C2%A0pakket,2025-12-08 17:02:18,5.97,,,,,0.7,
Fit Piggy Proteïnereep salted caramel crunch,"€2,99",NEE,30 g,31 g,15 g,1590 kJ (379 kcal),https://www.ah.nl/producten/product/wi603159/fit-piggy-protei%CC%88nereep-salted-caramel-crunch,2025-12-08 17:02:21,2.99,30.0,,,,0.9,0.9
Fit Piggy Proteïnereep hazelnut heaven,"€2,99",NEE,28 g,31 g,17 g,1658 kJ (396 kcal),https://www.ah.nl/producten/product/wi594152/fit-piggy-protei%CC%88nereep-hazelnut-heaven,2025-12-08 17:02:24,2.99,28.0,,,,0.88,0.9
Snickers Hi protein milk reep,"€3,19",NEE,35 g,26 g,18 g,1590 kJ (381 kcal),https://www.ah.nl/producten/product/wi576787/snickers-hi-protein-milk-reep,2025-12-08 17:02:28,3.19,35.0,,,,1.0,1.0
Eat Natural Protein packed repen pinda's & chocolade,"€3,39",NEE,22.8 g,32.4 g,30.5 g,510 kcal (2126 kJ),https://www.ah.nl/producten/product/wi388651/eat-natural-protein-packed-repen-pinda-s-en-chocolade,2025-12-08 17:02:31,3.39,22.8,,,,0.828,1.0
Fit Piggy Proteïnereep speculoos,"€2,99",NEE,28 g,32 g,17 g,1664 kJ (397 kcal),https://www.ah.nl/producten/product/wi594153/fit-piggy-protei%CC%88nereep-speculoos,2025-12-08 17:02:34,2.99,28.0,,,,0.88,0.9
Upfront Eiwitreep appel kaneel,"€2,69",NEE,25 g,32 g,20 g,1794 kJ (429 kcal),https://www.ah.nl/producten/product/wi548159/upfront-eiwitreep-appel-kaneel,2025-12-08 17:02:37,2.69,25.0,,,,1.0,0.9
Nature Valley Protein salted caramel & pinda repen,"€4,19",NEE,26 g,26.3 g,29.5 g,2067 kJ (496 kcal),https://www.ah.nl/producten/product/wi407166,2025-12-08 17:02:41,4.19,26.0,,,,0.86,1.0
Snickers Hi protein white reep,"€3,19",NEE,35 g,26 g,18 g,1596 kJ (382 kcal),https://www.ah.nl/producten/product/wi576788/snickers-hi-protein-white-reep,2025-12-08 17:02:44,3.19,35.0,,,,0.95,1.0
Snelle Jelle Proteïne banaan 4-pack,"€2,89",NEE,8.6 g,51 g,2.8 g,1208 kJ (287 kcal),https://www.ah.nl/producten/product/wi602689/snelle-jelle-protei%CC%88ne-banaan-4-pack,2025-12-08 17:02:47,2.89,8.6,,,,0.686,0.7
Fit Piggy Proteïne reep smaak toffee chocolade,"€2,99",NEE,30 g,32 g,13 g,1545 kJ (368 kcal),https://www.ah.nl/producten/product/wi603165/fit-piggy-protei%CC%88ne-reep-smaak-toffee-chocolade,2025-12-08 17:02:50,2.99,30.0,,,,0.9,0.9
Upfront Eiwitreep pistache framboos,"€2,69",NEE,25 g,38 g,19 g,1781 kJ (425 kcal),https://www.ah.nl/producten/product/wi588024,2025-12-08 17:02:53,2.69,25.0,,,,1.0,0.9
