Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Snickers Protein chocolade pinda caramel reep 47g,"€2,79",JA,23 g,42 g,17 g,1711 kJ,https://www.jumbo.com/producten/snickers-protein-chocolade-pinda-caramel-reep-47g-636148PAK,2025-12-09 15:42:02
Mars Protein chocolade caramel reep 50g,"€2,79",JA,20 g,52 g,11 g,1580 kJ,https://www.jumbo.com/producten/mars-protein-chocolade-caramel-reep-50g-636149PAK,2025-12-09 15:42:05
B'tween Protein Pinda's & Chocolade 4 x 24g,"€2,61",JA,17.0 g,38.0 g,36.0 g,2297.0 kJ,https://www.jumbo.com/producten/b-tween-protein-pinda-s-chocolade-4-x-24g-612279DS,2025-12-09 15:42:07
Nature Valley Protein Salted Caramel Nut 12 x 40 g,"€14,16",JA,26.0g,26.3g,29.5g,2067kJ / 496kcal,https://www.jumbo.com/producten/nature-valley-protein-salted-caramel-nut-12-x-40-g-629863DSL,2025-12-09 15:42:10
Nature Valley Protein Peanut & Chocolate - 12 x 40 g,"€21,48",JA,26.6 g,27.5 g,28.3 g,2038 kJ/489 kcal,https://www.jumbo.com/producten/nature-valley-protein-peanut-chocolate-12-x-40-g-629862DSL,2025-12-09 15:42:12
Upfront Eiwitreep Cripsy Vanille Kaneel 50g,"€2,49",JA,29.0 g,42.0 g,7.9 g,1544.0 kJ,https://www.jumbo.com/producten/upfront-eiwitreep-cripsy-vanille-kaneel-50g-708588PAK,2025-12-09 15:42:15
Upfront Eiwitreep Cripsy Witte Choco Framboos 50g,"€2,49",JA,29.0 g,41.0 g,10.0 g,1608.0 kJ,https://www.jumbo.com/producten/upfront-eiwitreep-cripsy-witte-choco-framboos-50g-708603PAK,2025-12-09 15:42:17
Upfront Eiwitreep Choco Zeezout 60g,"€2,69",JA,24.0 g,37.0 g,18.0 g,1774.0 kJ,https://www.jumbo.com/producten/upfront-eiwitreep-choco-zeezout-60g-708601PAK,2025-12-09 15:42:20
LIGA Proteinereep Cranberry Noot Hazelnoot 160g,"€3,59",JA,14.00 g,55.00 g,19.00 g,1855 kJ,https://www.jumbo.com/producten/liga-proteinereep-cranberry-noot-hazelnoot-160g-446635DS,2025-12-09 15:42:23
XXL Nutrition Proteine Bar Stracciatella 60g,"€2,49",JA,37.0 g,27.0 g,11.0 g,1614.0 kJ,https://www.jumbo.com/producten/xxl-nutrition-proteine-bar-stracciatella-60g-711671RP,2025-12-09 15:42:25
Upfront Eiwitreep Cookie Dough 60g,"€2,69",JA,25.0 g,36.0 g,18.0 g,1780.0 kJ,https://www.jumbo.com/producten/upfront-eiwitreep-cookie-dough-60g-708621PAK,2025-12-09 15:42:28
Kellogg's Special K High Protein 21% Cocoa Hazelnut Flavour 320 g,"€3,95",JA,,,,,https://www.jumbo.com/producten/kellogg-s-special-k-high-protein-21-cocoa-hazelnut-flavour-320-g-699951DS,2025-12-09 15:42:30
Zuivelhoeve XXL Nutrition Fit Quark Strawberry Protein Quark 205 g,"€1,99",JA,12 g,3.3 g,0.4 g,283 kJ / 67 kcal,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-quark-strawberry-protein-quark-205-g-685838ZK,2025-12-09 15:42:33
Melkunie Protein Strawberry Flavoured Quark 200 g,"€1,59",JA,10 g,6.6 g,0.2 g,305 kJ 72 kcal,https://www.jumbo.com/producten/melkunie-protein-strawberry-flavoured-quark-200-g-590777CUP,2025-12-09 15:42:36
Chocomel Protein 300 ml,"€1,89",JA,,,,,https://www.jumbo.com/producten/chocomel-protein-300-ml-706968FLS,2025-12-09 15:42:38
Kosso Nutrition Protein Pops Vanille 250g,"€7,49",JA,7.87 g,9.73 g,1.02 g,359.0 kJ,https://www.jumbo.com/producten/kosso-nutrition-protein-pops-vanille-250g-684241DS,2025-12-09 15:42:41
Muscle Meat High Protein Meals High Protein Kipfiletnuggets 400 g,"€6,95",JA,20.2 g,7.7 g,6.6 g,683 Kj/ 163 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-high-protein-kipfiletnuggets-400-g-698690TRA,2025-12-09 15:42:43
